,População Residente - Estimativas para o TCU - Bahia,Unnamed: 1
3,ABAIRA,7301
4,ABARE,17639
5,ACAJUTIBA,13795
6,ADUSTINA,14201
7,AGUA FRIA,14497
8,ERICO CARDOSO,10604
9,AIQUARA,4447
10,ALAGOINHAS,151055
11,ALCOBACA,24530
12,ALMADINA,5218
13,AMARGOSA,36521
14,AMELIA RODRIGUES,24138
15,AMERICA DOURADA,15137
16,ANAGE,25438
17,ANDARAI,13080
18,ANDORINHA,15012
19,ANGICAL,13732
20,ANGUERA,11031
21,ANTAS,14752
22,ANTONIO CARDOSO,11146
23,ANTONIO GONCALVES,10862
24,APORA,15922
25,APUAREMA,6913
26,ARACATU,13936
27,ARACAS,11557
28,ARACI,48294
29,ARAMARI,9833
30,ARATACA,10191
31,ARATUIPE,8677
32,AURELINO LEAL,11179
33,BAIANOPOLIS,13614
34,BAIXA GRANDE,18220
35,BANZAE,11958
36,BARRA,51092
37,BARRA DA ESTIVA,26026
38,BARRA DO CHOCA,36539
39,BARRA DO MENDES,13836
40,BARRA DO ROCHA,5775
41,BARREIRAS,159734
42,BARRO ALTO,13453
43,BARROCAS,15203
44,BARRO PRETO,5833
45,BELMONTE,20121
46,BELO CAMPO,18412
47,BIRITINGA,15146
48,BOA NOVA,13690
49,BOA VISTA DO TUPIM,16873
50,BOM JESUS DA LAPA,65550
51,BOM JESUS DA SERRA,9730
52,BONINAL,13622
53,BONITO,15844
54,BOQUIRA,19322
55,BOTUPORA,11024
56,BREJOES,12943
57,BREJOLANDIA,9108
58,BROTAS DE MACAUBAS,11765
59,BRUMADO,70510
60,BUERAREMA,14804
61,BURITIRAMA,19589
62,CAATIBA,6205
63,CABACEIRAS DO PARAGUACU,16559
64,CACHOEIRA,29250
65,CACULE,22462
66,CAEM,10384
67,CAETANOS,11266
68,CAETITE,52012
69,CAFARNAUM,17466
70,CAIRU,17761
71,CALDEIRAO GRANDE,13080
72,CAMACAN,22579
73,CAMACARI,300372
74,CAMAMU,30469
75,CAMPO ALEGRE DE LOURDES,30671
76,CAMPO FORMOSO,71377
77,CANAPOLIS,10225
78,CANARANA,24206
79,CANAVIEIRAS,32683
80,CANDEAL,7772
81,CANDEIAS,72382
82,CANDIBA,13016
83,CANDIDO SALES,25247
84,CANSANCAO,37439
85,CANUDOS,16105
86,CAPELA DO ALTO ALEGRE,10744
87,CAPIM GROSSO,33235
88,CARAIBAS,9940
89,CARAVELAS,20580
90,CARDEAL DA SILVA,8365
91,CARINHANHA,28869
92,CASA NOVA,72086
93,CASTRO ALVES,24712
94,CATOLANDIA,3434
95,CATU,48148
96,CATURAMA,8841
97,CENTRAL,16348
98,CHORROCHO,10579
99,CICERO DANTAS,30749
100,CIPO,17230
101,COARACI,17333
102,COCOS,19151
103,CONCEICAO DA FEIRA,20800
104,CONCEICAO DO ALMEIDA,15794
105,CONCEICAO DO COITE,67825
106,CONCEICAO DO JACUIPE,35308
107,CONDE,23654
108,CONDEUBA,17053
109,CONTENDAS DO SINCORA,4333
110,CORACAO DE MARIA,26692
111,CORDEIROS,7546
112,CORIBE,13990
113,CORONEL JOAO SA,17056
114,CORRENTINA,32457
115,COTEGIPE,13063
116,CRAVOLANDIA,4415
117,CRISOPOLIS,19729
118,CRISTOPOLIS,13993
119,CRUZ DAS ALMAS,60348
120,CURACA,34180
121,DARIO MEIRA,10820
122,DIAS D'AVILA,71485
123,DOM BASILIO,11884
124,DOM MACEDO COSTA,4407
125,ELISIO MEDRADO,7808
126,ENCRUZILHADA,19107
127,ENTRE RIOS,38098
128,ESPLANADA,32554
129,EUCLIDES DA CUNHA,61456
130,EUNAPOLIS,113710
131,FATIMA,17896
132,FEIRA DA MATA,5631
133,FEIRA DE SANTANA,616272
134,FILADELFIA,17897
135,FIRMINO ALVES,4873
136,FLORESTA AZUL,11059
137,FORMOSA DO RIO PRETO,25899
138,GANDU,32178
139,GAVIAO,4360
140,GENTIO DO OURO,10884
141,GLORIA,15524
142,GONGOGI,5555
143,GOVERNADOR MANGABEIRA,20605
144,GUAJERU,8050
145,GUANAMBI,87817
146,GUARATINGA,19049
147,HELIOPOLIS,12687
148,IACU,24607
149,IBIASSUCE,10429
150,IBICARAI,21665
151,IBICOARA,20785
152,IBICUI,13934
153,IBIPEBA,16603
154,IBIPITANGA,13863
155,IBIQUERA,3725
156,IBIRAPITANGA,25344
157,IBIRAPUA,8896
158,IBIRATAIA,18792
159,IBITIARA,14637
160,IBITITA,16969
161,IBOTIRAMA,26309
162,ICHU,6190
163,IGAPORA,15527
164,IGRAPIUNA,13151
165,IGUAI,21491
166,ILHEUS,178649
167,INHAMBUPE,33790
168,IPECAETA,13709
169,IPIAU,40706
170,IPIRA,56876
171,IPUPIARA,9935
172,IRAJUBA,6101
173,IRAMAIA,10752
174,IRAQUARA,23879
175,IRARA,28043
176,IRECE,74507
177,ITABELA,28165
178,ITABERABA,65073
179,ITABUNA,186708
180,ITACARE,27704
181,ITAETE,13472
182,ITAGI,13803
183,ITAGIBA,15310
184,ITAGIMIRIM,6347
185,ITAGUACU DA BAHIA,12311
186,ITAJU DO COLONIA,6037
187,ITAJUIPE,18781
188,ITAMARAJU,59605
189,ITAMARI,7051
